set_code,name,population,index_value,eco_level
220,??? ??????,565,1.327,8
1284,?????,2726,2.132,9
1197,???? ????,210,-0.93,2
1156,???,274,-0.801,3
1248,?????,129,-0.732,3
866,?????,657,-0.58,3
1255,????,181,-0.304,4
1052,?????,485,-0.256,4
1279,**???? ????,110,-0.078,5
1126,?????,322,0.412,6
1266,?????,130,0.48,6
1129,??????,262,0.583,7
21,??? ????,617,0.84,7
1158,???,182,0.998,8
848,??? ???,1057,-1.071,2
334,????? ????,935,-1.01,2
1094,??? ???? (?????),541,-0.813,3
720,??? ????,1395,0.136,5
760,?? ????,1083,0.137,5
592,??? ????,671,0.507,7
571,??? ??????,953,0.985,8
1084,?? ??? (??? ????),625,-1.621,1
2038,????,1867,-0.587,3
450,????? ????,415,-0.499,3
1141,???? ???????,265,-0.372,4
804,??????,1349,0.103,5
449,?????,1690,0.188,6
604,??? ????,1112,0.384,6
618,????,866,0.506,7
257,????,544,0.552,7
663,???? ?????,1183,0.553,7
745,????,1165,0.666,7
802,"???? ?""?",859,0.684,7
784,??? ?????,887,1.288,8
616,??????,1134,1.307,8
863,??????,884,1.341,8
1310,????,2551,1.583,8
1165,????,679,1.618,8
673,??? ?????,882,1.669,9
448,??? ?????,995,1.719,9
2013,?? ??? (????),855,1.742,9
606,????,1300,1.753,9
1166,??? ???,208,1.809,9
707,??? ?????,726,1.844,9
107,??? ?????,227,-1.108,2
820,???,449,-0.288,4
746,?????,1199,-0.228,4
351,????,1853,-0.026,5
1419,???? ?',1349,0.095,5
747,??? ????,827,0.144,5
726,??????,488,0.246,6
791,????,1005,0.327,6
1376,??? ????,368,0.363,6
359,??????,341,0.685,7
573,???????,395,0.74,7
342,?????,372,0.793,7
768,??????,590,0.909,7
1323,?? ???,704,0.936,7
358,?? ?????,656,0.949,7
584,?????,625,1.041,8
744,???? ???,805,1.08,8
824,???? ?????,992,1.304,8
1242,???? ?????,805,1.477,8
706,????,929,1.489,8
699,??? ?????,853,1.531,8
212,??? ???,201,-2.903,1
102,???? ????,317,-1.637,1
1320,??? ???,273,-0.917,2
427,??? ????,294,-0.897,2
694,???? ?????,1878,-0.853,3
769,??? ?????,899,-0.697,3
327,???? ??,931,-0.025,5
612,?????,1093,0.815,7
312,???? ??,252,0.829,7
810,????,639,0.855,7
317,??? ????,452,0.975,8
53,?????,6814,0.983,8
433,???????,642,1.081,8
74,??? ???,590,1.113,8
290,????? ???,671,1.137,8
33,?? ????,608,1.207,8
426,??? ????,894,1.257,8
434,???????,720,1.294,8
689,?????,1277,1.315,8
683,??? ????,1166,1.4,8
738,???,398,1.433,8
800,??? ?????,901,1.608,8
687,??? ?????,1127,1.687,9
580,"??? ???""?",706,1.765,9
675,??????,345,1.792,9
1167,??????,4853,2.09,9
287,?? ????,950,-0.208,4
842,???,682,0.329,6
232,?????,1208,0.781,7
1024,??????,876,1.026,8
417,????,703,1.026,8
346,???? ??,453,1.137,8
446,?????,1306,1.627,9
288,??? ?????,1062,1.683,9
247,?????,1402,1.813,9
316,??? ???,1157,1.941,9
418,??? ????,1392,2.002,9
389,????,1118,2.064,9
1324,?????,154,2.645,10
1339,??-???,184,-1.393,2
2045,????,588,0.423,6
16,??? ???,580,0.733,7
1133,?????,264,0.788,7
340,?? (?????),685,0.841,7
619,??? ??????,436,0.885,7
393,?????,378,0.927,7
2046,?????,689,0.953,7
564,?????,653,1.011,8
315,????,881,1.015,8
293,??? ????,442,1.041,8
274,??? ????,1296,1.157,8
888,"??? ???""?",852,1.671,9
767,????,1206,-0.223,4
170,??? ????,665,0.03,5
837,??????,859,0.404,6
2002,??????,829,0.666,7
379,??????,896,0.846,7
661,??? ?????,1742,0.885,7
851,????? ???,1105,0.963,7
753,????,909,0.985,8
880,??? ????,1566,1.174,8
447,???????,1941,1.259,8
386,??? ????,1216,1.443,8
1044,???,291,1.465,8
276,??? ???,3114,1.602,8
549,???? ???,909,1.637,9
187,??? ??,1581,1.681,9
157,??? ???,1470,1.713,9
425,?????,1054,1.714,9
162,?????,1266,1.778,9
814,?????,896,-0.427,3
32,????,521,-0.402,4
36,??? ???,378,-0.387,4
1369,???,453,-0.18,5
1368,??? ?????,659,0.001,5
2030,?????,528,0.044,5
821,?????,517,0.091,5
23,?????,569,0.092,5
44,????,349,0.196,6
55,????,546,0.265,6
7,???,838,0.565,7
309,?????,1136,0.613,7
1365,?????,257,0.921,7
18,??? ???,736,1.023,8
11,"??? ?""?",503,1.109,8
1233,???,382,1.126,8
775,?? ???,604,1.294,8
24,????,712,1.783,9
730,??????,554,0.369,6
843,???????,393,0.501,6
2009,????,634,0.594,7
2063,?????,354,0.605,7
861,??? ??????,811,0.894,7
732,???? ?????,678,0.898,7
1253,?????,289,0.937,7
372,???? ?????,549,0.954,7
324,??? ????,644,1.014,8
1285,?????,564,1.186,8
322,??? ???,765,1.22,8
1252,??????,357,1.317,8
1210,???,358,1.452,8
130,???? ????,1216,-0.486,3
270,??? ?????,821,-0.423,3
369,???? (??? ????),463,-0.354,4
682,??????,857,0.044,5
250,?????,842,0.075,5
703,???? ???,469,0.159,6
300,?????,792,0.313,6
